location, section
california, 2022
california, 4755
california, 2525
california, 2022
california, 2022
california, 2022
california, 102
california, 2022
california, 2022
california, 2022
california, 2022
california, 2022
california, 2022
california, 2022
california, 1
california, 2
california, 101.1
california, 104.5
california, 3
california, 4
california, 5
california, 6
california, 7
california, 8
california, 2022
california, 209.0
california, 209.0
california, 209.0
california, 209.0
california, 2021
california, 2022
california, 4755
california, 2022
california, 1.1.0
california, 1.1.2
california, 1.1.3
california, 1.1.4
california, 1.7.6
california, 1.1.8
california, 1.1.9
california, 1.1.10
california, 951311
california, 1.1.12
california, 7.2.0
california, 1.2.3
california, 1.3.0
california, 1.3.2
california, 1.4.0
california, 1.4.2
california, 1.5.0
california, 1.6.0
california, 7.6.2
california, 1.7.0
california, 172
california, 1.8.0
california, 1.8.1
california, 1.8.2
california, 1.8.3
california, 1.8.4
california, 1.8.5
california, 1.8.6
california, 2022
california, 101.4
california, 101.5
california, 102.0
california, 102.1
california, 102.2
california, 102.3
california, 301.4
california, 102.4
california, 102.5
california, 301.7
california, 102.6
california, 102.7
california, 302.1
california, 102.8
california, 303.0
california, 103.0
california, 103.1
california, 103.2
california, 304.1
california, 103.3
california, 305.0
california, 103.4
california, 104.0
california, 305.1
california, 104.1
california, 306.0
california, 104.2
california, 306.1
california, 104.3
california, 306.2
california, 104.4
california, 307.0
california, 104.5
california, 307.1
california, 105.0
california, 307.2
california, 105.1
california, 308.0
california, 105.2
california, 105.3
california, 105.4
california, 106.0
california, 106.1
california, 106.2
california, 309.5
california, 106.3
california, 309.6
california, 106.4
california, 310.0
california, 106.5
california, 310.1
california, 310.2
california, 106.6
california, 310.3
california, 107.0
california, 310.4
california, 107.1
california, 107.2
california, 310.6
california, 310.7
california, 310.8
california, 310.12
california, 201.0
california, 310.13
california, 201.1
california, 202.0
california, 202.1
california, 312.0
california, 312.1
california, 312.2
california, 312.3
california, 323.0
california, 312.4
california, 312.5
california, 401.0
california, 401.1
california, 401.2
california, 401.3
california, 313.7
california, 314.0
california, 314.1
california, 314.2
california, 314.3
california, 314.4
california, 315.0
california, 315.1
california, 315.2
california, 316.0
california, 316.1
california, 317.0
california, 317.1
california, 318.0
california, 318.1
california, 318.2
california, 318.3
california, 318.4
california, 318.5
california, 319.0
california, 2022
california, 407.4
california, 407.5
california, 407.6
california, 408.0
california, 408.1
california, 408.2
california, 408.3
california, 416.1
california, 408.4
california, 416.2
california, 408.5
california, 416.3
california, 408.6
california, 416.4
california, 408.7
california, 416.5
california, 417.0
california, 408.8
california, 417.1
california, 408.9
california, 417.2
california, 408.10
california, 409.0
california, 417.3
california, 417.4
california, 409.1
california, 409.2
california, 417.5
california, 409.3
california, 409.4
california, 418.0
california, 418.1
california, 409.5
california, 418.2
california, 409.6
california, 418.3
california, 410.0
california, 418.4
california, 410.1
california, 418.5
california, 410.2
california, 419.0
california, 410.3
california, 419.1
california, 419.2
california, 411.0
california, 419.3
california, 411.1
california, 420.0
california, 411.2
california, 420.1
california, 411.3
california, 420.2
california, 411.4
california, 420.3
california, 412.0
california, 412.1
california, 412.2
california, 413.0
california, 413.1
california, 413.2
california, 413.3
california, 413.4
california, 413.5
california, 414.0
california, 414.1
california, 414.2
california, 422.3
california, 422.4
california, 422.5
california, 422.6
california, 422.7
california, 422.8
california, 507.1
california, 422.9
california, 507.6
california, 507.7
california, 501.0
california, 507.8
california, 501.1
california, 501.2
california, 502.0
california, 502.1
california, 507.11
california, 503.1
california, 507.12
california, 503.2
california, 507.13
california, 504.0
california, 504.1
california, 504.2
california, 504.3
california, 504.4
california, 504.5
california, 504.6
california, 505.0
california, 505.1
california, 507.22
california, 505.2
california, 505.3
california, 507.23
california, 505.4
california, 506.0
california, 507.25
california, 506.1
california, 506.2
california, 506.3
california, 506.4
california, 2022
california, 508.1
california, 508.2
california, 508.3
california, 508.4
california, 509.0
california, 509.1
california, 509.2
california, 509.3
california, 509.4
california, 509.5
california, 509.6
california, 509.7
california, 601.0
california, 601.1
california, 509.8
california, 509.9
california, 509.10
california, 601.8
california, 509.11
california, 602.0
california, 602.1
california, 509.12
california, 602.2
california, 509.13
california, 602.3
california, 509.14
california, 509.15
california, 510.0
california, 510.1
california, 510.2
california, 603.4
california, 603.5
california, 604.0
california, 604.1
